================================================================================
Loss Comparison Data (NPU vs GPU)
Generated at: 2026-05-14 17:02:08
================================================================================

Iteration  NPU Loss     GPU Loss     Difference  
--------------------------------------------------------------------------------
1          17.015000    17.015300    0.000300    
2          15.800000    15.796400    0.003600    
3          16.563500    16.561100    0.002400    
4          16.405600    16.401700    0.003900    
5          15.317800    15.315100    0.002700    
6          15.578600    15.575300    0.003300    
7          15.353700    15.350200    0.003500    
8          14.985300    14.979100    0.006200    
9          14.283000    14.274800    0.008200    
10         14.207400    14.199300    0.008100    
11         14.027800    14.018900    0.008900    
12         12.861500    12.852800    0.008700    
13         13.467000    13.460100    0.006900    
14         12.534900    12.520700    0.014200    
15         11.655600    11.645900    0.009700    
16         12.038400    12.028400    0.010000    
17         10.864200    10.850800    0.013400    
18         10.589300    10.576200    0.013100    
19         10.660200    10.650800    0.009400    
20         10.026100    10.016800    0.009300    
21         9.187000     9.176600     0.010400    
22         9.198200     9.184500     0.013700    
23         9.239200     9.225100     0.014100    
24         8.021800     8.007700     0.014100    
25         7.599300     7.589300     0.010000    
26         7.999300     7.985600     0.013700    
27         7.239100     7.229600     0.009500    
28         6.676900     6.669800     0.007100    
29         7.215000     7.206700     0.008300    
30         6.654900     6.646600     0.008300    
31         5.994600     5.986600     0.008000    
32         6.345300     6.337100     0.008200    
33         5.799500     5.790600     0.008900    
34         5.646200     5.642100     0.004100    
35         5.597500     5.592800     0.004700    
36         5.758800     5.750700     0.008100    
37         5.177900     5.170700     0.007200    
38         5.041300     5.038600     0.002700    
39         5.206300     5.198600     0.007700    
40         5.356100     5.351600     0.004500    
41         4.830800     4.827900     0.002900    
42         4.639200     4.633900     0.005300    
43         4.962900     4.957200     0.005700    
44         4.475200     4.469700     0.005500    
45         4.843700     4.838000     0.005700    
46         4.786000     4.782900     0.003100    
47         4.102300     4.097500     0.004800    
48         4.287700     4.283200     0.004500    
49         4.429200     4.423600     0.005600    
50         4.219000     4.216200     0.002800    
51         4.267200     4.263100     0.004100    
52         3.977300     3.973000     0.004300    
53         4.256900     4.253300     0.003600    
54         3.904500     3.898300     0.006200    
55         3.902200     3.897800     0.004400    
56         4.271100     4.268800     0.002300    
57         3.500700     3.496700     0.004000    
58         3.677500     3.675400     0.002100    
59         3.939800     3.936200     0.003600    
60         3.459200     3.454000     0.005200    
61         3.595300     3.591800     0.003500    
62         3.679500     3.673700     0.005800    
63         3.926100     3.924700     0.001400    
64         3.145900     3.140400     0.005500    
65         3.447000     3.444600     0.002400    
66         3.593900     3.590300     0.003600    
67         3.538600     3.535500     0.003100    
68         3.388800     3.385900     0.002900    
69         3.099500     3.097900     0.001600    
70         3.611300     3.609900     0.001400    
71         3.000500     2.997000     0.003500    
72         3.465600     3.461300     0.004300    
73         3.595800     3.594800     0.001000    
74         2.648800     2.644300     0.004500    
75         3.187900     3.185900     0.002000    
76         3.211300     3.208100     0.003200    
77         3.069200     3.067100     0.002100    
78         3.164300     3.162000     0.002300    
79         2.813300     2.811400     0.001900    
80         3.333400     3.331500     0.001900    
81         2.778300     2.774800     0.003500    
82         2.981600     2.979200     0.002400    
83         3.355400     3.353200     0.002200    
84         2.415800     2.414400     0.001400    
85         2.901000     2.900000     0.001000    
86         3.015600     3.011500     0.004100    
87         2.749900     2.748100     0.001800    
88         2.732800     2.730200     0.002600    
89         2.834300     2.832500     0.001800    
90         3.217500     3.216700     0.000800    
91         2.303100     2.302100     0.001000    
92         2.806500     2.804800     0.001700    
93         2.868900     2.867600     0.001300    
94         2.755300     2.754100     0.001200    
95         2.753500     2.750500     0.003000    
96         2.426200     2.423200     0.003000    
97         2.997200     2.996100     0.001100    
98         2.358600     2.355700     0.002900    
99         2.819900     2.817700     0.002200    
100        3.021700     3.020200     0.001500    
101        2.039900     2.039900     0.000000    
102        2.647200     2.643900     0.003300    
103        2.649800     2.647000     0.002800    
104        2.540600     2.540500     0.000100    
105        2.616500     2.612400     0.004100    
106        2.290200     2.288100     0.002100    
107        2.845000     2.844100     0.000900    
108        2.273300     2.271300     0.002000    
109        2.479600     2.477700     0.001900    
110        2.890200     2.890700     0.000500    
111        1.932300     1.930400     0.001900    
112        2.442700     2.439700     0.003000    
113        2.561100     2.557100     0.004000    
114        2.341100     2.340100     0.001000    
115        2.285400     2.280900     0.004500    
116        2.373500     2.373300     0.000200    
117        2.794900     2.792700     0.002200    
118        1.892800     1.892600     0.000200    
119        2.406100     2.402200     0.003900    
120        2.468000     2.465900     0.002100    
121        2.327700     2.326800     0.000900    
122        2.362100     2.359000     0.003100    
123        2.045100     2.041200     0.003900    
124        2.623300     2.620700     0.002600    
125        1.988400     1.982000     0.006400    
126        2.402300     2.398800     0.003500    
127        2.672100     2.669200     0.002900    
128        1.692400     1.690200     0.002200    
129        2.285700     2.282500     0.003200    
130        2.305300     2.303700     0.001600    
131        2.195500     2.194700     0.000800    
132        2.267000     2.262000     0.005000    
133        1.950600     1.949500     0.001100    
134        2.505700     2.502900     0.002800    
135        1.949900     1.946900     0.003000    
136        2.130300     2.127800     0.002500    
137        2.560800     2.557500     0.003300    
138        1.640600     1.639700     0.000900    
139        2.109800     2.104600     0.005200    
140        2.246800     2.247000     0.000200    
141        2.060800     2.062000     0.001200    
142        1.968800     1.965400     0.003400    
143        2.059000     2.057600     0.001400    
144        2.476600     2.477300     0.000700    
145        1.612600     1.611600     0.001000    
146        2.110700     2.107600     0.003100    
147        2.173200     2.172200     0.001000    
148        2.041700     2.038200     0.003500    
149        2.063900     2.062000     0.001900    
150        1.770600     1.768100     0.002500    
151        2.344400     2.342700     0.001700    
152        1.713100     1.709400     0.003700    
153        2.097100     2.095500     0.001600    
154        2.390300     2.390600     0.000300    
155        1.450600     1.445400     0.005200    
156        2.013800     2.010100     0.003700    
157        2.045100     2.043000     0.002100    
158        1.941100     1.940400     0.000700    
159        1.996900     1.993200     0.003700    
160        1.704700     1.701500     0.003200    
161        2.247600     2.244300     0.003300    
162        1.708700     1.704900     0.003800    
163        1.872600     1.869300     0.003300    
164        2.301600     2.302300     0.000700    
165        1.438700     1.437100     0.001600    
166        1.860600     1.859300     0.001300    
167        2.005400     2.003400     0.002000    
168        1.844700     1.843000     0.001700    
169        1.737700     1.736300     0.001400    
170        1.830000     1.828600     0.001400    
171        2.228400     2.227000     0.001400    
172        1.407300     1.406200     0.001100    
173        1.895300     1.894200     0.001100    
174        1.952600     1.949900     0.002700    
175        1.831600     1.828100     0.003500    
176        1.843600     1.841000     0.002600    
177        1.571500     1.569700     0.001800    
178        2.131500     2.130000     0.001500    
179        1.520000     1.517400     0.002600    
180        1.882600     1.880700     0.001900    
181        2.173100     2.171400     0.001700    
182        1.280800     1.279300     0.001500    
183        1.824700     1.822900     0.001800    
184        1.847300     1.847000     0.000300    
185        1.752800     1.752100     0.000700    
186        1.801000     1.798200     0.002800    
187        1.527600     1.527800     0.000200    
188        2.056100     2.054700     0.001400    
189        1.535500     1.534600     0.000900    
190        1.692100     1.691000     0.001100    
191        2.107300     2.105500     0.001800    
192        1.295000     1.295800     0.000800    
193        1.690600     1.688800     0.001800    
194        1.829300     1.827900     0.001400    
195        1.682200     1.681100     0.001100    
196        1.578900     1.575200     0.003700    
197        1.663800     1.663800     0.000000    
198        2.044000     2.043100     0.000900    
199        1.265100     1.261600     0.003500    
200        1.741700     1.741500     0.000200    
201        1.793500     1.792700     0.000800    
202        1.676400     1.673200     0.003200    
203        1.686700     1.686100     0.000600    
204        1.428600     1.427800     0.000800    
205        1.974400     1.972200     0.002200    
206        1.386900     1.385300     0.001600    
207        1.727600     1.726900     0.000700    
208        2.013000     2.011800     0.001200    
209        1.164400     1.162200     0.002200    
210        1.687000     1.686400     0.000600    
211        1.705900     1.706400     0.000500    
212        1.616500     1.615600     0.000900    
213        1.663000     1.658300     0.004700    
214        1.403900     1.403000     0.000900    
215        1.915800     1.915800     0.000000    
216        1.417200     1.413900     0.003300    
217        1.564800     1.562300     0.002500    
218        1.963300     1.964400     0.001100    
219        1.193800     1.190800     0.003000    
220        1.570000     1.568700     0.001300    
221        1.704500     1.704400     0.000100    
222        1.562500     1.560700     0.001800    
223        1.468900     1.467100     0.001800    
224        1.544600     1.546200     0.001600    
225        1.911900     1.912100     0.000200    
226        1.164700     1.162100     0.002600    
227        1.629200     1.629600     0.000400    
228        1.680700     1.682000     0.001300    
229        1.563700     1.561100     0.002600    
230        1.578500     1.576800     0.001700    
231        1.328100     1.328800     0.000700    
232        1.857800     1.857900     0.000100    
233        1.296100     1.293100     0.003000    
234        1.614700     1.614100     0.000600    
235        1.897000     1.897700     0.000700    
236        1.082800     1.080900     0.001900    
237        1.590100     1.587900     0.002200    
238        1.605600     1.607100     0.001500    
239        1.519100     1.518700     0.000400    
240        1.563200     1.560800     0.002400    
241        1.312800     1.313400     0.000600    
242        1.813900     1.815800     0.001900    
243        1.331400     1.329100     0.002300    
244        1.470600     1.470200     0.000400    
245        1.860500     1.862800     0.002300    
246        1.122200     1.120500     0.001700    
247        1.484200     1.482100     0.002100    
248        1.614700     1.614900     0.000200    
249        1.477200     1.478800     0.001600    
250        1.388200     1.388000     0.000200    
251        1.458600     1.458000     0.000600    
252        1.816800     1.816800     0.000000    
253        1.096100     1.094800     0.001300    
254        1.548400     1.547700     0.000700    
255        1.599600     1.600800     0.001200    
256        1.484300     1.482000     0.002300    
257        1.501700     1.499700     0.002000    
258        1.259200     1.258800     0.000400    
259        1.773100     1.774800     0.001700    
260        1.229900     1.228300     0.001600    
261        1.533400     1.532800     0.000600    
262        1.813200     1.814700     0.001500    
263        1.025300     1.024900     0.000400    
264        1.520200     1.517600     0.002600    
265        1.537500     1.537100     0.000400    
266        1.450600     1.450000     0.000600    
267        1.491700     1.488500     0.003200    
268        1.252800     1.251400     0.001400    
269        1.743700     1.743700     0.000000    
270        1.271700     1.270100     0.001600    
271        1.406000     1.404700     0.001300    
272        1.788200     1.789500     0.001300    
273        1.070300     1.070100     0.000200    
274        1.423300     1.420000     0.003300    
275        1.553200     1.552800     0.000400    
276        1.417600     1.418300     0.000700    
277        1.333400     1.332100     0.001300    
278        1.399000     1.397800     0.001200    
279        1.750500     1.750400     0.000100    
280        1.050800     1.047200     0.003600    
281        1.491800     1.490600     0.001200    
282        1.546600     1.544500     0.002100    
283        1.426100     1.425400     0.000700    
284        1.445800     1.441400     0.004400    
285        1.207800     1.209400     0.001600    
286        1.718800     1.716300     0.002500    
287        1.185400     1.183300     0.002100    
288        1.476400     1.475700     0.000700    
289        1.755400     1.758000     0.002600    
290        0.988700     0.987100     0.001600    
291        1.471700     1.468200     0.003500    
292        1.488300     1.489500     0.001200    
293        1.403000     1.400600     0.002400    
294        1.443100     1.440100     0.003000    
295        1.207200     1.208200     0.001000    
296        1.692700     1.693100     0.000400    
297        1.231600     1.229600     0.002000    
298        1.358400     1.358500     0.000100    
299        1.738200     1.738200     0.000000    
300        1.035400     1.035300     0.000100    
301        1.380400     1.378600     0.001800    
302        1.508900     1.509400     0.000500    
303        1.376700     1.376500     0.000200    
304        1.296300     1.294400     0.001900    
305        1.355100     1.355800     0.000700    
306        1.702600     1.705900     0.003300    
307        1.017600     1.016500     0.001100    
308        1.453100     1.451400     0.001700    
309        1.504200     1.506900     0.002700    
310        1.387400     1.386300     0.001100    

================================================================================
Statistics Summary
================================================================================
Total iterations: 310
NPU mean loss: 3.179306
GPU mean loss: 3.176754
Mean difference: 0.002812
Std difference: 0.002714
Min difference: 0.000000
Max difference: 0.014200
